,City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
37,Ushuaia,AR,-54.8,-68.3,26.6,92,0,9.17
38,Labuhan,ID,-6.88,112.21,85.01,64,0,6.49
39,Naze,JP,28.37,129.48,86.92,79,40,12.75
40,Nishinomiya,JP,34.72,135.33,86.47,62,75,5.82
41,Changli,CN,39.7,119.15,93.42,27,0,3.94
42,Vestmannaeyjar,IS,63.44,-20.27,48.9,79,27,0.87
43,Butaritari,KI,3.07,172.79,82.92,79,0,15.82
44,Usinsk,RU,65.99,57.53,61.0,65,10,5.44
45,Aklavik,CA,68.22,-135.01,51.8,66,75,5.57
46,Avera,US,33.19,-82.53,80.4,74,1,4.7
47,Faanui,PF,-16.48,-151.75,76.95,84,66,21.79
48,Qaanaaq,GL,77.48,-69.36,44.64,76,99,1.79
49,Along,IN,28.17,94.77,73.45,90,100,2.66
50,Tasiilaq,GL,65.61,-37.64,42.8,93,54,6.93
51,Tiksi,RU,71.69,128.87,61.65,57,56,6.35
52,Hong Kong,HK,22.29,114.16,88.21,81,100,4.0
53,Bluff,NZ,-46.6,168.33,45.79,83,99,5.77
54,Hasaki,JP,35.73,140.83,81.82,78,75,5.82
55,Ambon City,ID,-3.7,128.18,84.99,11,4,1.01
56,Hithadhoo,MV,-0.6,73.08,82.87,78,100,14.07
57,Liberty,US,31.83,-81.5,80.11,78,1,3.36
58,Vaini,TO,-21.2,-175.2,69.8,94,90,6.93
59,Esperance,AU,-33.87,121.9,55.4,66,64,8.05
60,Vila Franca do Campo,PT,37.72,-25.43,68.0,72,75,5.82
61,Ponta do Sol,PT,32.67,-17.1,66.38,77,40,11.41
62,Kaitangata,NZ,-46.28,169.85,46.99,65,98,1.01
63,Jamestown,US,42.1,-79.24,69.24,94,1,5.82
64,Cape Town,ZA,-33.93,18.42,53.4,93,0,5.82
65,Chokurdakh,RU,70.63,147.92,77.95,37,100,15.82
66,Jackson,US,42.42,-122.83,86.76,25,1,11.41
67,Nikolskoye,RU,59.7,30.79,62.31,87,81,4.47
68,Khatanga,RU,71.97,102.5,51.98,74,100,5.59
69,George Town,MY,5.41,100.34,86.63,79,20,4.7
70,Ahipara,NZ,-35.17,173.17,61.79,84,93,2.84
71,Santa Marta,CO,11.24,-74.2,80.01,87,34,11.05
72,Ribeira Grande,PT,38.52,-28.7,68.81,76,46,1.86
73,Winnemucca,US,40.97,-117.74,93.2,9,1,4.7
74,Tuktoyaktuk,CA,69.45,-133.04,48.2,76,75,3.36
75,Korla,CN,41.76,86.15,71.01,95,100,12.21
76,Clyde River,CA,70.47,-68.59,41.0,93,1,4.7
77,Port Alfred,ZA,-33.59,26.89,62.98,29,0,8.08
78,Iwanai,JP,42.97,140.51,77.85,66,100,3.71
79,Rome,US,43.21,-75.46,74.3,73,1,5.82
80,Albany,US,42.6,-73.97,75.96,92,97,4.0
81,Port-Cartier,CA,50.03,-66.87,66.09,82,75,10.29
82,Dikson,RU,73.51,80.55,41.02,98,80,9.86
83,São Francisco de Paula,BR,-29.45,-50.58,61.68,77,3,5.01
84,Cairns,AU,-16.92,145.77,76.82,61,75,11.41
85,Codrington,AU,-38.27,141.97,52.79,72,75,13.89
86,Almenara,BR,-16.18,-40.69,66.94,86,100,2.17
87,Jiazi,CN,22.88,116.07,87.94,65,100,9.55
88,Meulaboh,ID,4.14,96.13,87.12,63,41,1.77
89,Mataram,ID,-8.58,116.12,84.2,74,75,14.99
90,Faya,SA,18.39,42.45,57.2,87,75,13.87
91,Solnechnyy,RU,50.72,136.63,82.45,54,98,6.24
92,Oistins,BB,13.07,-59.53,82.4,74,40,13.87
93,Teya,RU,60.38,92.63,54.97,90,100,4.68
94,East London,ZA,-33.02,27.91,48.2,87,0,5.82
95,Hay River,CA,60.82,-115.8,60.8,87,75,14.99
96,Måløy,NO,61.94,5.11,50.92,87,96,10.29
97,Bredasdorp,ZA,-34.53,20.04,53.6,93,24,2.3
98,Avarua,CK,-21.21,-159.78,75.2,73,67,19.46
99,Bethel,US,41.37,-73.41,75.76,83,75,5.28
100,Lebu,CL,-37.62,-73.65,51.04,87,0,12.33
101,Mahajanga,MG,-15.72,46.32,68.0,56,20,10.29
102,Mossamedes,AO,-15.2,12.15,67.68,57,32,6.29
103,Rojhan,PK,28.69,69.95,96.46,48,0,14.2
104,Sakaiminato,JP,35.55,133.23,90.68,55,75,5.82
105,Lagoa,PT,39.05,-27.98,68.23,79,46,7.45
106,Henties Bay,NA,-22.12,14.28,73.0,21,0,18.14
107,Kyaukse,MM,21.6,96.13,86.0,62,75,8.05
108,Savannakhet,LA,16.57,104.75,86.0,66,40,2.24
109,Tuatapere,NZ,-46.13,167.68,48.22,92,100,5.06
110,Forsytheganj,BY,52.63,29.73,60.44,82,0,1.03
111,Mt. Pleasant,US,32.79,-79.86,82.72,83,75,5.82
112,Murmino,RU,54.6,40.05,60.13,88,1,4.32
113,Cabo San Lucas,MX,22.89,-109.91,88.72,36,20,5.82
114,Katsuura,JP,35.13,140.3,84.61,83,75,8.05
115,Chui,UY,-33.7,-53.46,66.34,86,95,7.2
116,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,82,90,15.66
117,Barra Patuca,HN,15.8,-84.28,80.11,81,9,3.09
118,Shellbrook,CA,53.22,-106.4,60.8,93,75,3.36
119,Panabá,MX,21.28,-88.27,76.87,87,64,5.53
120,Landerneau,FR,48.45,-4.25,58.37,93,90,8.05
121,Nanortalik,GL,60.14,-45.24,45.39,76,19,3.49
122,Yinzhu,CN,35.88,119.98,81.93,62,0,6.71
123,Provideniya,RU,64.38,-173.3,50.0,81,75,13.42
124,Puri,IN,19.8,85.85,86.0,84,75,18.34
125,Uvinza,TZ,-5.1,30.39,60.08,67,25,4.25
126,Coahuayana Viejo,MX,18.73,-103.68,78.8,89,85,0.98
127,Sibu,MY,2.3,111.82,84.07,74,40,3.36
128,Kajiado,KE,-1.85,36.78,55.4,93,90,4.7
129,Lamu,KE,-2.27,40.9,75.78,75,92,16.4
130,Kruisfontein,ZA,-34.0,24.73,52.02,41,0,7.18
131,San Quintín,MX,30.48,-115.95,71.19,67,0,17.76
132,Souillac,MU,-20.52,57.52,69.8,60,75,17.22
133,Saint-François,FR,46.42,3.91,54.75,87,8,2.1
134,Freeport,US,40.66,-73.58,77.83,83,20,10.29
135,São Filipe,CV,14.9,-24.5,76.24,86,88,8.95
136,Aberdeen,GB,57.14,-2.1,51.8,81,34,5.82
137,Norman Wells,CA,65.28,-126.83,59.0,82,40,4.7
138,Kodinsk,RU,58.69,99.18,68.34,40,99,3.47
139,Narsaq,GL,60.92,-46.05,51.8,53,58,3.36
140,Leninsk-Kuznetsky,RU,54.66,86.17,69.8,68,40,11.18
141,Hofn,IS,64.25,-15.21,51.91,72,98,1.99
142,Port Macquarie,AU,-31.43,152.92,66.99,37,2,12.44
143,São José da Coroa Grande,BR,-8.9,-35.15,75.29,85,53,14.16
144,Pisco,PE,-13.7,-76.22,59.0,87,20,2.24
145,Monastyrshchina,RU,54.35,31.84,58.55,88,2,3.38
146,Ilulissat,GL,69.22,-51.1,48.2,61,47,1.12
147,Belmonte,BR,-15.86,-38.88,68.0,94,75,6.93
148,Álamos,MX,27.02,-108.93,86.27,78,100,4.0
149,Thai Binh,VN,20.45,106.33,89.6,75,75,14.99
150,Miasskoye,RU,55.28,61.89,71.6,78,40,8.95
151,Seymchan,RU,62.88,152.43,74.88,36,0,8.66
152,Hobart,AU,-42.88,147.33,49.01,61,75,18.34
153,Zuwārah,LY,32.93,12.08,74.05,78,30,5.88
154,Myaundzha,RU,63.05,147.19,73.08,29,4,7.94
155,Shimokizukuri,JP,40.81,140.39,82.27,65,75,6.93
156,Ovalle,CL,-30.6,-71.2,55.0,85,19,0.78
157,Warrnambool,AU,-38.38,142.48,54.0,77,83,3.0
158,Broome,US,42.25,-75.83,69.67,88,1,5.82
159,Lødingen,NO,68.41,16.0,51.93,87,99,2.24
160,Unaí,BR,-16.36,-46.91,61.75,69,36,0.96
161,Mosquera,CO,4.71,-74.23,57.2,71,40,4.7
162,Lüderitz,NA,-26.65,15.16,60.8,27,0,2.24
163,Aginskoye,RU,51.1,114.53,63.05,48,100,14.38
164,Port Elizabeth,ZA,-33.92,25.57,42.8,93,0,3.36
165,Mount Isa,AU,-20.73,139.5,75.2,14,81,12.75
166,Khadyzhensk,RU,44.43,39.53,75.33,70,0,0.49
167,Fort Morgan,US,40.25,-103.8,68.0,64,1,6.93
168,Abapó,BO,-18.83,-63.47,63.61,88,0,2.06
169,Hirara,JP,24.8,125.28,89.6,62,40,9.17
170,Namie,JP,37.48,141.0,81.72,57,100,1.99
171,Bechem,GH,7.09,-2.02,70.74,95,100,4.29
172,Sheregesh,RU,52.92,87.99,78.53,40,20,1.48
173,Shingū,JP,33.73,135.98,82.4,88,75,4.7
174,Antofagasta,CL,-23.65,-70.4,57.2,76,90,5.82
175,Havøysund,NO,71.0,24.66,50.0,93,75,16.11
176,Goderich,CA,43.75,-81.72,73.35,71,7,1.01
177,Talnakh,RU,69.49,88.4,55.4,62,55,15.66
178,Ostrovnoy,RU,68.05,39.51,65.77,60,9,13.47
179,Tessalit,ML,20.2,1.01,85.5,36,76,8.55
180,Hualmay,PE,-11.1,-77.61,59.27,85,69,6.6
181,Syamzha,RU,60.02,41.06,61.14,71,93,5.17
182,Ixtapa,MX,20.7,-105.2,84.2,79,75,3.36
183,Mehamn,NO,71.04,27.85,51.13,87,100,5.37
184,Lompoc,US,34.64,-120.46,60.4,77,0,9.17
185,Tazmalt,DZ,36.39,4.4,66.2,88,0,4.7
186,Luleå,SE,65.58,22.15,60.8,93,100,8.05
187,Conceição da Barra,BR,-18.59,-39.73,68.95,91,75,5.35
188,Port Moresby,PG,-9.44,147.18,82.4,78,75,18.34
189,Vanimo,PG,-2.67,141.3,86.5,61,28,7.72
190,New Norfolk,AU,-42.78,147.06,47.97,76,59,1.99
191,Kalmar,SE,56.66,16.36,62.8,93,15,3.36
192,Maniitsoq,GL,65.42,-52.9,49.95,75,100,2.06
193,Joshīmath,IN,30.57,79.57,72.37,52,35,5.95
194,Portland,US,45.52,-122.68,81.28,11,0,5.3
195,Yellowknife,CA,62.46,-114.35,66.94,68,75,6.93
196,Dicabisagan,PH,17.08,122.42,88.05,59,67,6.55
197,Kapaa,US,22.08,-159.32,78.98,83,90,13.87
198,Saurimo,AO,-9.66,20.39,50.83,54,0,5.5
199,Empório,GR,40.48,21.55,62.6,55,0,9.17
200,Kavieng,PG,-2.57,150.8,85.69,67,1,9.01
201,Egvekinot,RU,66.32,-179.17,51.04,55,25,4.18
202,Laramie,US,41.31,-105.59,70.34,24,1,21.92
203,Torbay,CA,47.67,-52.73,59.77,87,20,11.41
204,Novoagansk,RU,61.94,76.66,55.67,83,100,20.54
205,‘Ewa Beach,US,21.32,-158.01,83.43,62,20,9.17
206,Derzhavīnsk,KZ,51.1,66.32,81.07,31,0,7.47
207,Mount Gambier,AU,-37.83,140.77,51.8,71,90,14.99
208,Pembroke,CA,45.82,-77.12,72.68,73,20,8.28
209,Vao,NC,-22.67,167.48,69.4,70,2,15.35
210,Mabaruma,GY,8.2,-59.78,73.85,97,1,2.06
211,Saldanha,ZA,-33.01,17.94,42.8,93,0,2.24
212,Atar,MR,20.52,-13.05,83.62,46,1,7.92
213,Saint Paul Harbor,US,57.79,-152.41,60.8,77,90,18.34
214,Río Gallegos,AR,-51.62,-69.22,32.0,88,75,4.7
215,Raudeberg,NO,61.99,5.14,50.59,87,97,10.29
216,Hobyo,SO,5.35,48.53,77.97,71,78,25.12
217,Bandarbeyla,SO,9.49,50.81,80.89,59,99,29.15
218,Rundu,NA,-17.93,19.77,44.78,59,0,5.01
219,Suez,EG,29.97,32.53,74.26,81,0,10.87
220,Puerto Ayora,EC,-0.74,-90.35,69.01,93,77,4.0
221,Hervey Bay,AU,-25.3,152.85,73.99,58,0,4.0
222,Brasília de Minas,BR,-16.21,-44.43,61.32,74,26,9.48
223,Skibbereen,IE,51.55,-9.27,50.0,81,40,9.17
224,Powell,US,40.16,-83.08,72.54,83,1,5.82
225,Rantepao,ID,-2.97,119.9,80.51,62,59,4.72
226,Thinadhoo,MV,0.53,72.93,83.41,77,100,15.14
227,Geraldton,AU,-28.77,114.6,62.6,59,0,14.99
228,São Sepé,BR,-30.16,-53.57,63.75,93,29,3.09
229,Macamic,CA,48.75,-79.0,69.8,68,20,14.99
230,Ciudad de Armería,MX,18.93,-103.97,79.41,90,21,2.66
231,Murmashi,RU,68.82,32.81,66.2,72,74,4.47
232,Darhan,MN,49.49,105.92,67.37,47,0,2.33
233,Otane,NZ,-39.88,176.63,54.0,90,98,11.01
234,Caucayá,CO,-0.19,-74.78,71.83,96,98,0.76
235,Bago,MM,17.34,96.48,84.2,74,75,3.36
236,Byron Bay,AU,-28.65,153.62,71.33,43,0,10.29
237,Kristiansund,NO,63.11,7.73,51.8,87,95,13.87
238,Beloha,MG,-25.17,45.05,58.23,85,0,7.76
239,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.06,87,20,13.94
240,College,US,64.86,-147.8,69.4,49,75,5.82
241,Baykit,RU,61.67,96.37,67.17,38,15,4.63
242,Qasigiannguit,GL,68.82,-51.19,48.2,61,61,1.12
243,Airai,TL,-8.93,125.41,74.57,39,35,2.64
244,Klyuchevskiy,RU,53.53,119.45,61.65,84,33,7.14
245,Jiuquan,CN,39.74,98.52,86.92,13,88,4.47
246,Oleksandrivka,UA,46.84,32.76,66.09,68,0,6.71
247,Stornoway,GB,58.21,-6.39,47.05,93,95,6.93
248,Lázaro Cárdenas,MX,17.96,-102.2,79.9,83,13,1.32
249,Verkh-Usugli,RU,52.7,115.17,53.38,70,100,7.76
250,Tura,IN,25.52,90.22,74.52,98,100,5.84
251,Atuona,PF,-9.8,-139.03,79.65,77,45,16.22
252,Dawlatabad,AF,36.41,64.91,94.57,10,0,7.81
253,San Andrés,CO,12.58,-81.7,82.4,78,40,9.17
254,Coyhaique,CL,-45.58,-72.07,35.6,93,90,3.36
255,Uzunovo,RU,54.54,38.62,59.72,86,0,4.03
256,Maromitsa,RU,59.87,48.01,62.6,71,60,8.84
257,Mahébourg,MU,-20.41,57.7,69.8,60,75,17.22
258,Half Moon Bay,US,37.46,-122.43,61.12,87,90,4.7
259,Cidreira,BR,-30.18,-50.21,65.95,79,76,5.39
260,Altay,CN,47.87,88.12,83.07,32,1,5.26
261,Trairi,BR,-3.28,-39.27,73.92,89,23,7.09
262,Kawalu,ID,-7.38,108.21,80.17,72,64,4.65
263,Sibolga,ID,1.74,98.78,87.57,58,3,4.85
264,Rawson,AR,-43.3,-65.1,45.57,81,100,11.7
265,Nuuk,GL,64.18,-51.72,55.4,50,100,11.41
266,Ubari,LY,26.59,12.78,82.27,29,0,12.55
267,Dunedin,NZ,-45.87,170.5,48.0,79,100,21.0
268,Pangnirtung,CA,66.15,-65.71,54.82,69,100,1.57
269,Vostok,RU,46.49,135.88,82.06,36,100,7.83
270,Bela,IN,25.93,81.98,89.69,64,100,9.93
271,Zaysan,KZ,47.47,84.87,88.32,25,72,3.85
272,Arinos,BR,-15.92,-46.11,61.23,71,24,2.62
273,Carnarvon,AU,-24.87,113.63,69.8,37,0,14.99
274,Malanje,AO,-9.54,16.34,49.86,51,0,5.17
275,Bella Union,UY,-30.28,-57.6,66.27,77,1,10.36
276,Meadow Lake,US,34.8,-106.54,75.74,41,75,17.22
277,Tilichiki,RU,60.47,166.1,54.9,80,100,4.16
278,Cherskiy,RU,68.75,161.3,74.95,35,0,2.26
279,Arman',RU,59.7,150.17,59.68,62,30,6.38
280,Lerwick,GB,60.15,-1.15,50.0,87,49,5.82
281,Boguchany,RU,58.38,97.45,65.14,48,99,2.28
282,Zlatoust,RU,55.17,59.65,65.64,90,86,2.66
283,Aktash,RU,50.3,87.73,69.17,45,32,1.95
284,Tommot,RU,58.96,126.29,79.75,50,100,8.52
285,Takoradze,GH,4.88,-1.76,74.14,94,100,5.53
286,Gōtsuchō,JP,35.0,132.22,89.6,66,75,9.17
287,Caravelas,BR,-17.71,-39.25,70.61,91,100,6.29
288,Mahibadhoo,MV,3.78,72.97,83.44,76,99,24.83
289,Olenegorsk,RU,68.15,33.3,67.23,64,56,7.05
290,Vredendal,ZA,-31.67,18.5,55.58,37,0,6.96
291,Kamenka,RU,51.32,42.77,64.51,81,4,3.8
292,Launceston,AU,-41.45,147.17,52.2,53,75,6.93
293,Santarém,BR,-2.44,-54.71,75.2,94,13,2.66
294,Srednekolymsk,RU,67.45,153.68,79.25,32,0,11.23
295,Akhtubinsk,RU,48.28,46.17,75.96,44,67,12.03
296,Lumberton,US,34.62,-79.01,82.81,74,20,4.7
297,Hohhot,CN,40.81,111.65,77.0,44,4,4.47
298,Kuzino,RU,57.02,59.44,65.98,93,100,6.89
299,Soyo,AO,-6.13,12.37,72.19,88,68,3.8
300,Sawākin,SD,19.11,37.33,89.65,47,62,6.08
301,Virginia Beach,US,36.85,-75.98,81.45,78,75,4.7
302,Santa Maria do Suaçuí,BR,-18.19,-42.41,60.22,96,77,2.3
303,Grindavik,IS,63.84,-22.43,44.6,93,75,5.82
304,High Rock,BS,26.62,-78.28,83.66,78,1,16.4
305,Keti Bandar,PK,24.14,67.45,87.75,73,100,21.83
306,San Felipe,VE,10.34,-68.74,72.99,88,100,3.11
307,Jasper,US,37.2,-94.35,78.69,74,1,10.29
308,Saint George,US,37.1,-113.58,100.4,9,1,11.41
309,Almaznyy,RU,48.04,40.05,64.4,77,20,4.47
310,Doha,QA,25.29,51.53,93.45,71,78,2.24
311,Vila Velha,BR,-20.33,-40.29,68.0,94,75,3.36
312,San Patricio,MX,19.22,-104.7,80.04,86,90,6.91
313,Vyyezdnoye,RU,55.38,43.79,59.94,91,43,6.33
314,Ous,RU,60.91,61.52,61.63,63,45,9.1
315,Carutapera,BR,-1.2,-46.02,73.2,92,12,3.98
316,Porto Walter,BR,-8.27,-72.74,73.85,77,6,1.34
317,Cabra,ES,37.47,-4.44,79.0,51,0,3.24
318,Cusuna,HN,15.85,-85.23,77.07,88,0,5.91
319,Nioro,GM,13.35,-15.75,76.98,88,89,5.66
320,Isangel,VU,-19.55,169.27,77.0,61,40,9.17
321,Ust'-Koksa,RU,50.27,85.61,77.61,52,9,0.43
322,Kavaratti,IN,10.57,72.64,81.5,81,100,13.94
323,Waipawa,NZ,-41.41,175.52,59.32,59,34,9.17
324,Rameswaram,IN,9.28,79.3,83.89,74,77,6.76
325,Nelson Bay,AU,-32.72,152.15,64.74,23,0,14.99
326,Manbij,SY,36.53,37.95,64.4,55,0,7.99
327,Sika,GM,13.35,-16.34,78.8,94,20,3.36
328,Sittwe,MM,20.15,92.9,81.84,81,100,6.26
329,Itoman,JP,26.12,127.67,88.18,74,40,10.29
330,Port Lincoln,AU,-34.73,135.87,56.21,57,62,8.95
331,Contamana,PE,-7.33,-75.02,74.57,74,0,2.35
332,Adrar,MR,20.5,-10.07,89.55,28,17,8.3
333,Kirakira,SB,-10.45,161.92,82.71,76,22,7.56
334,Leyva Solano,MX,25.67,-108.64,84.65,78,100,3.0
335,Esim,GH,4.87,-2.24,74.37,93,91,5.41
336,Lorengau,PG,-2.02,147.27,85.6,69,78,11.43
337,Tucupita,VE,9.06,-62.05,73.96,97,51,2.55
338,Port Blair,IN,11.67,92.75,85.37,66,90,3.0
339,Bariloche,AR,-41.15,-71.31,37.4,93,90,5.82
340,Matara,LK,5.95,80.54,84.52,71,99,7.18
341,Mindelo,CV,16.89,-24.98,77.0,83,40,10.29
342,Numan,NG,9.47,12.03,74.41,88,100,9.86
343,Zabul Province,AF,32.25,67.25,82.56,15,0,2.15
344,Tarata,BO,-17.62,-66.02,51.8,37,0,4.7
345,Cananea,MX,30.95,-110.3,80.8,33,32,7.0
346,Belinsky,RU,52.96,43.42,61.7,85,0,6.49
347,Longkou,CN,37.65,120.33,77.88,69,0,7.05
348,Arraial do Cabo,BR,-22.97,-42.03,70.41,85,0,22.44
349,Neo Souli,GR,41.1,23.65,60.01,95,0,2.98
350,Grand Gaube,MU,-20.01,57.66,70.0,59,73,8.99
351,Poum,NC,-20.23,164.02,71.46,71,32,19.13
352,Guerrero Negro,MX,27.98,-114.06,68.9,82,25,10.25
353,Nemuro,JP,43.32,145.57,80.6,54,40,6.93
354,Lüshunkou,CN,38.8,121.27,80.6,61,0,8.95
355,Opuwo,NA,-18.06,13.84,48.34,50,0,8.59
356,Nome,US,64.5,-165.41,54.23,76,90,6.93
357,Auki,SB,-8.77,160.7,82.96,77,22,4.03
358,Magdagachi,RU,53.45,125.8,66.54,90,100,9.91
359,Maridi,SS,4.92,29.47,64.17,98,100,3.8
360,Umm Kaddadah,SD,13.6,26.69,78.93,65,100,11.7
361,Māndalgarh,IN,25.2,75.1,89.04,61,85,13.35
362,Ola,RU,59.58,151.28,59.38,66,45,8.14
363,Darnah,LY,32.77,22.64,74.62,75,0,16.73
364,San-Pédro,CI,4.75,-6.64,73.54,95,63,5.44
365,Rubiera,IT,44.65,10.78,67.3,64,0,1.5
366,Bambous Virieux,MU,-20.34,57.76,69.89,60,75,17.22
367,Jamkhandi,IN,16.52,75.3,79.41,78,100,9.13
368,Malbork,PL,54.04,19.03,62.69,87,79,1.12
369,Tanete,ID,-3.94,119.78,87.66,58,8,13.67
370,Cranbrook,CA,49.5,-115.77,77.0,25,40,6.93
371,Paraguaçu Paulista,BR,-22.41,-50.58,60.98,62,0,8.03
372,Lhokseumawe,ID,5.18,97.15,87.08,62,87,2.73
373,Fairbanks,US,64.84,-147.72,69.46,46,1,8.05
374,Shimoda,JP,34.67,138.95,81.68,78,75,9.17
375,Barstow,US,34.9,-117.02,92.7,7,1,26.4
376,Yabēlo,ET,4.88,38.08,55.72,92,76,9.86
377,Nkowakowa,ZA,-23.89,30.29,48.2,36,0,6.93
378,Cockburn Town,TC,21.46,-71.14,83.53,79,98,21.45
379,Visby,SE,57.64,18.3,63.52,88,100,5.82
380,Province of Trapani,IT,37.83,12.67,67.57,88,20,3.36
381,Laguna,US,38.42,-121.42,74.46,47,1,8.05
382,Hollins,US,37.34,-79.94,80.01,65,20,9.17
383,Kuah,MY,6.33,99.84,87.4,79,20,2.24
384,Kidal,ML,18.44,1.41,87.12,41,64,8.14
385,Pitanga,BR,-24.76,-51.76,55.15,96,1,2.48
386,Cachoeira do Sul,BR,-30.04,-52.89,63.97,93,15,2.91
387,Toppenish,US,46.38,-120.31,87.39,58,1,3.36
388,Nichinan,JP,31.6,131.37,93.2,56,40,6.93
389,Villa Bruzual,VE,9.33,-69.12,73.18,95,100,0.89
390,Oodweyne,SO,9.41,45.06,70.3,60,77,22.86
391,Taoudenni,ML,22.68,-3.98,95.23,20,0,7.85
392,Broken Hill,AU,-31.95,141.43,55.4,47,0,13.87
393,Valera,VE,9.32,-70.6,74.44,68,100,4.99
394,Belaya Gora,RU,68.53,146.42,80.58,31,99,12.17
395,Chenghai,CN,23.46,116.77,91.4,55,40,8.95
396,Immokalee,US,26.42,-81.42,78.13,88,40,4.7
397,Yafran,LY,32.06,12.53,59.94,90,0,2.93
398,Port Hardy,CA,50.7,-127.42,64.4,68,20,6.93
399,Ambilobe,MG,-13.2,49.05,67.69,62,3,5.1
400,Karratha,AU,-20.74,116.85,72.97,46,0,17.85
401,Moyale,KE,3.52,39.06,62.15,80,83,11.18
402,Itiruçu,BR,-13.53,-40.15,59.97,98,67,5.21
403,Porto Tolle,IT,44.95,12.32,64.74,84,24,4.18
404,Dar es Salaam,TZ,-6.82,39.27,69.8,88,20,5.82
405,Berbérati,CF,4.26,15.79,66.92,99,100,1.86
406,Chul'man,RU,56.85,124.91,65.14,81,100,11.3
407,Sosnovo-Ozerskoye,RU,52.52,111.54,63.07,43,46,14.2
408,Rio Grande,BR,-32.03,-52.1,64.24,86,32,7.07
409,Necochea,AR,-38.55,-58.74,52.0,97,94,8.01
410,Camacha,PT,33.08,-16.33,69.8,77,40,17.22
411,Sept-Îles,CA,50.2,-66.38,66.09,82,75,10.29
412,Ghanzi,BW,-21.57,21.78,44.04,57,0,7.81
413,Brus Laguna,HN,15.75,-84.48,76.1,91,1,0.56
414,Safi,MA,32.3,-9.24,70.03,85,0,9.84
415,Kumta,IN,14.42,74.4,82.85,78,100,1.83
416,Malakal,SS,9.53,31.66,67.71,94,64,2.24
417,Matagami,CA,49.75,-77.63,64.4,88,75,7.49
418,Alyangula,AU,-13.85,136.42,84.2,30,27,12.75
419,Puerto del Rosario,ES,28.5,-13.86,78.8,57,0,16.11
420,Kaeo,NZ,-35.1,173.78,64.0,3,82,3.0
421,Sola,VU,-13.88,167.55,80.6,65,90,6.93
422,Lethem,GY,3.38,-59.8,75.02,86,72,3.71
423,Merauke,ID,-8.47,140.33,80.82,76,93,14.25
424,Herat Province,AF,34.5,62.0,86.0,19,0,2.24
425,Ilebo,CD,-4.32,20.58,65.71,46,59,1.43
426,Ambulu,ID,-8.35,113.61,83.8,67,17,7.63
427,Mongoumba,CF,3.64,18.59,69.3,94,100,0.38
428,Nador,MA,35.17,-2.93,71.91,88,20,4.7
429,Zyryanka,RU,65.75,150.85,80.24,35,4,15.75
430,Hirado,JP,33.36,129.55,89.6,66,75,10.29
431,Chicama,PE,-7.84,-79.15,61.2,84,10,4.7
